Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
HAVE,own,1,1,real,critical,TRUE
BOILED,eggs,1,1,real,critical,TRUE
WEIRD,strange,1,1,real,critical,TRUE
NOON,lunch,1,1,real,critical,TRUE
FRISK,search,1,1,real,critical,TRUE
GATE,fence,1,1,real,critical,TRUE
SHARP,point,1,1,real,critical,TRUE
FLOOR,tile,1,1,real,critical,TRUE
SACK,bag,1,1,real,critical,TRUE
DATE,time,1,1,real,critical,TRUE
FOG,mist,1,1,real,critical,TRUE
RAKE,leaves,1,1,real,critical,TRUE
ROD,reel,1,1,real,critical,TRUE
GULP,swallow,1,2,real,critical,TRUE
WORSE,better,1,2,real,critical,TRUE
PARCHED,thirsty,1,2,real,critical,TRUE
MUSK,cologne,1,2,real,critical,TRUE
STREAM,river,1,2,real,critical,TRUE
PLUS,minus,1,2,real,critical,TRUE
CLOWN,funny,1,2,real,critical,TRUE
GYM,workout,1,2,real,critical,TRUE
SEEM,appear,1,2,real,critical,TRUE
DEAD,alive,1,2,real,critical,TRUE
DIG,shovel,1,2,real,critical,TRUE
ROAR,lion,1,2,real,critical,TRUE
COWARD,wimp,2,1,real,critical,TRUE
CAVERN,cave,2,1,real,critical,TRUE
PARIS,france,2,1,real,critical,TRUE
COLLEGE,school,2,1,real,critical,TRUE
GANDER,goose,2,1,real,critical,TRUE
ILLNESS,sick,2,1,real,critical,TRUE
POCKET,jeans,2,1,real,critical,TRUE
CARTON,box,2,1,real,critical,TRUE
VILLAGE,town,2,1,real,critical,TRUE
MAMMAL,whale,2,1,real,critical,TRUE
CRESCENT,moon,2,1,real,critical,TRUE
CHARCOAL,grill,2,1,real,critical,TRUE
AGAIN,repeat,2,2,real,critical,TRUE
WALLET,money,2,2,real,critical,TRUE
CAUTION,danger,2,2,real,critical,TRUE
PRESTIGE,honor,2,2,real,critical,TRUE
FRUSTRATE,annoy,2,2,real,critical,TRUE
CHECKING,account,2,2,real,critical,TRUE
OUTDOORS,indoors,2,2,real,critical,TRUE
BENEATH,under,2,2,real,critical,TRUE
HOPELESS,homeless,2,2,real,critical,TRUE
COWGIRL,cowboy,2,2,real,critical,TRUE
REGRET,sorry,2,2,real,critical,TRUE
STANDARD,normal,2,2,real,critical,TRUE
DEFEND,protect,2,2,real,critical,TRUE
HARSH,actor,1,2,real,critical,FALSE
TOAD,weather,1,2,real,critical,FALSE
PILE,frog,1,1,real,critical,FALSE
WHERE,collar,1,2,real,critical,FALSE
HAT,when,1,1,real,critical,FALSE
DAMN,head,1,1,real,critical,FALSE
SMEAR,simple,1,2,real,critical,FALSE
LOFT,smudge,1,1,real,critical,FALSE
LATCH,bed,1,1,real,critical,FALSE
THICK,key,1,1,real,critical,FALSE
GLARE,thin,1,1,real,critical,FALSE
WHOM,stare,1,1,real,critical,FALSE
SCREW,who,1,1,real,critical,FALSE
FIG,driver,1,2,real,critical,FALSE
AUNT,newton,1,2,real,critical,FALSE
DOOR,uncle,1,2,real,critical,FALSE
TUNE,open,1,2,real,critical,FALSE
SUB,music,1,2,real,critical,FALSE
DEW,sandwich,1,2,real,critical,FALSE
LACE,morning,1,2,real,critical,FALSE
PLAIN,take,1,1,real,critical,FALSE
USE,private,1,2,real,critical,FALSE
BEAD,abuse,1,2,real,critical,FALSE
WIDE,necklace,1,2,real,critical,FALSE
LODGE,narrow,1,2,real,critical,FALSE
THINKING,cabin,2,2,real,critical,FALSE
FROSTING,brain,2,1,real,critical,FALSE
POEM,cake,2,1,real,critical,FALSE
REMOVE,rhyme,2,1,real,critical,FALSE
SURFACE,it,2,1,real,critical,FALSE
PRINCESS,top,2,1,real,critical,FALSE
RIGID,prince,2,1,real,critical,FALSE
DEFROST,stiff,2,1,real,critical,FALSE
RHYTHM,thaw,2,1,real,critical,FALSE
SAUCER,beat,2,1,real,critical,FALSE
SECURE,cup,2,1,real,critical,FALSE
EFFECT,tissue,2,2,real,critical,FALSE
MOONLIGHT,cause,2,1,real,critical,FALSE
FAILURE,night,2,1,real,critical,FALSE
IMPLODE,success,2,2,real,critical,FALSE
PUBLIC,explode,2,2,real,critical,FALSE
KLEENEX,shoelace,2,2,real,critical,FALSE
LAPEL,safe,2,1,real,critical,FALSE
CLIMATE,stack,2,1,real,critical,FALSE
TULIP,mean,2,1,real,critical,FALSE
PURPOSE,flower,2,2,real,critical,FALSE
CENTER,reason,2,2,real,critical,FALSE
EXIT,middle,2,2,real,critical,FALSE
ASLEEP,enter,2,2,real,critical,FALSE
ACTRESS,awake,2,2,real,critical,FALSE
