Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
GUN,t'ʌs,1,1,pseudo,filler,FALSE
STEER,m'oʊm,1,1,pseudo,filler,FALSE
BLOCK,f'aɪp,1,1,pseudo,filler,FALSE
WEST,l'ɔtʃt,1,1,pseudo,filler,FALSE
TRICK,θɹ'ɪn,1,1,pseudo,filler,FALSE
DRAG,gl'ɪs,1,1,pseudo,filler,FALSE
COACH,pɹ'eɪn,1,1,pseudo,filler,FALSE
GUM,pj'um,1,1,pseudo,filler,FALSE
QUILL,h'ʊp,1,1,pseudo,filler,FALSE
LEARN,p'eɪmz,1,1,pseudo,filler,FALSE
DRUM,m'aʊt,1,1,pseudo,filler,FALSE
JAW,g'æk,1,1,pseudo,filler,FALSE
DISH,sp'ɛt,1,1,pseudo,filler,FALSE
MINE,h'ɔft,1,1,pseudo,filler,FALSE
TRAMP,tʃ'ɔɪld,1,1,pseudo,filler,FALSE
SHOOT,tʃ'æst,1,1,pseudo,filler,FALSE
SCOTCH,pɹ'il,1,1,pseudo,filler,FALSE
RAW,s'ɪfs,1,1,pseudo,filler,FALSE
SCARE,sw'ik,1,1,pseudo,filler,FALSE
MASK,bl'eɪs,1,1,pseudo,filler,FALSE
MUTE,m'ɔft,1,1,pseudo,filler,FALSE
YOUTH,t'ɝlz,1,1,pseudo,filler,FALSE
HINT,l'oʊt,1,1,pseudo,filler,FALSE
CURVE,n'aɪb,1,1,pseudo,filler,FALSE
CHOOSE,t'ælt,1,1,pseudo,filler,FALSE
SCOLD,fl'ɛlz,1,1,pseudo,filler,FALSE
CLOUD,gl'ænt,1,1,pseudo,filler,FALSE
DAD,b'ɛld,1,1,pseudo,filler,FALSE
PINT,z'eɪ,1,1,pseudo,filler,FALSE
CRUTCH,skw'id,1,1,pseudo,filler,FALSE
JOCK,k'ʌg,1,1,pseudo,filler,FALSE
WINGS,f'eɪŋ,1,1,pseudo,filler,FALSE
FAIL,st'ɑm,1,1,pseudo,filler,FALSE
SLURP,pl'ɪp,1,1,pseudo,filler,FALSE
VALVE,l'ʌtʃt,1,1,pseudo,filler,FALSE
BREED,fl'eɪts,1,1,pseudo,filler,FALSE
KNEEL,θ'oʊ,1,1,pseudo,filler,FALSE
TREAT,t'ɝtʃ,1,1,pseudo,filler,FALSE
WORLD,θ'ændz,1,1,pseudo,filler,FALSE
WHITE,sm'ik,1,1,pseudo,filler,FALSE
LOOSE,h'oʊd,1,1,pseudo,filler,FALSE
DRILL,p'eɪm,1,1,pseudo,filler,FALSE
PUSH,sk'ʌtʃ,1,1,pseudo,filler,FALSE
OUT,t'uɹ,1,1,pseudo,filler,FALSE
HIM,d'iɹ,1,1,pseudo,filler,FALSE
RAYS,v'oʊk,1,1,pseudo,filler,FALSE
BLEACH,kw'ɪsk,1,1,pseudo,filler,FALSE
BUY,h'ʊt,1,1,pseudo,filler,FALSE
HIVE,n'æz,1,1,pseudo,filler,FALSE
TRAIL,f'ælfs,1,1,pseudo,filler,FALSE
CORPSE,d'oʊ-ɪŋ,1,2,pseudo,filler,FALSE
ACT,t'i-səl,1,2,pseudo,filler,FALSE
HANDS,k'ɑn-kɪnt,1,2,pseudo,filler,FALSE
DIRT,m'ɝ-ŋɚ,1,2,pseudo,filler,FALSE
BALL,k'æ-niz,1,2,pseudo,filler,FALSE
SLEEP,'ɪt-tɚ,1,2,pseudo,filler,FALSE
TENT,bl'ɔ-fi,1,2,pseudo,filler,FALSE
DICE,m'eɪl-dɛn,1,2,pseudo,filler,FALSE
KID,d'æ-sək,1,2,pseudo,filler,FALSE
BEE,k'ɑb-ʃɪb,1,2,pseudo,filler,FALSE
STEPS,dɹ'eɪ-hɪŋ,1,2,pseudo,filler,FALSE
BEAN,æb-d'ufs,1,2,pseudo,filler,FALSE
FAR,mɚ-'ɛf,1,2,pseudo,filler,FALSE
BREEZE,t'ɛŋ-gɚ,1,2,pseudo,filler,FALSE
LEAST,bə-loʊn,1,2,pseudo,filler,FALSE
SLACKS,d'ɪ-dʒɚ,1,2,pseudo,filler,FALSE
SQUINT,h'oʊlt-saɪt,1,2,pseudo,filler,FALSE
KNEES,b'ʌ-vɚ,1,2,pseudo,filler,FALSE
CHAIN,w'ɑ-wɚ,1,2,pseudo,filler,FALSE
GROOM,f'ɛs-nəs,1,2,pseudo,filler,FALSE
BROAD,gʊl-n'aɪ,1,2,pseudo,filler,FALSE
HUGE,b'ɛs-li,1,2,pseudo,filler,FALSE
WEAVE,'eɪ-səl,1,2,pseudo,filler,FALSE
VERSE,k'ɔɪn-di,1,2,pseudo,filler,FALSE
FLOAT,l'eɪs-li,1,2,pseudo,filler,FALSE
CREASE,ə-b'ɔk,1,2,pseudo,filler,FALSE
ART,k'ʌ-stɪt,1,2,pseudo,filler,FALSE
LOST,w'if-ləs,1,2,pseudo,filler,FALSE
DITCH,kw'ɪn-ti,1,2,pseudo,filler,FALSE
MARSH,dɹ'u-tən,1,2,pseudo,filler,FALSE
RAFT,pɛ-s'ɪnt,1,2,pseudo,filler,FALSE
WAIST,b'ɛ-sɪŋ,1,2,pseudo,filler,FALSE
SHOW,k'ɑn-spɛkt,1,2,pseudo,filler,FALSE
SHAME,n'æf-næk,1,2,pseudo,filler,FALSE
BEG,b'ɪ-wɚ,1,2,pseudo,filler,FALSE
EAST,mə-heɪn,1,2,pseudo,filler,FALSE
FEET,p'eɪ-bəl,1,2,pseudo,filler,FALSE
RAG,ə-f'ɔss,1,2,pseudo,filler,FALSE
MAKE,h'æ-vɚt,1,2,pseudo,filler,FALSE
RUM,w'ɑ-zi,1,2,pseudo,filler,FALSE
DIP,v'æ-blɚm,1,2,pseudo,filler,FALSE
FRENCH,k'ɔ-ʃɚd,1,2,pseudo,filler,FALSE
SLEIGH,sæ-l'oʊ,1,2,pseudo,filler,FALSE
TEAR,sn'oʊ-ti,1,2,pseudo,filler,FALSE
ZEST,d'ɑ-nɚt,1,2,pseudo,filler,FALSE
PISSED,əd-n'ætʃ,1,2,pseudo,filler,FALSE
PHASE,l'ɪ-zɪt,1,2,pseudo,filler,FALSE
MISS,'eɪ-bɑl,1,2,pseudo,filler,FALSE
SQUEAK,f'ɑ-pɪt,1,2,pseudo,filler,FALSE
TOUCH,h'aɪ-l'æŋ,1,2,pseudo,filler,FALSE
NUMBER,kw'id,2,1,pseudo,filler,FALSE
SCUBA,ʃɹ'ɛl,2,1,pseudo,filler,FALSE
TAXI,sw'aɪd,2,1,pseudo,filler,FALSE
PRESENT,s'ɛtʃ,2,1,pseudo,filler,FALSE
GULLY,sp'ɔɪnt,2,1,pseudo,filler,FALSE
AGAINST,s'uʃ,2,1,pseudo,filler,FALSE
PICTURE,l'ɛbz,2,1,pseudo,filler,FALSE
MAYBE,s'ɪtʃ,2,1,pseudo,filler,FALSE
TRIUMPH,n'ɝts,2,1,pseudo,filler,FALSE
RUBBER,k'oʊŋ,2,1,pseudo,filler,FALSE
POLISH,d'ʌlz,2,1,pseudo,filler,FALSE
BABY,fl'oʊk,2,1,pseudo,filler,FALSE
COVER,m'ʌkt,2,1,pseudo,filler,FALSE
OCEAN,kl'æl,2,1,pseudo,filler,FALSE
BOWLING,m'im,2,1,pseudo,filler,FALSE
NOTICE,s'aʊbz,2,1,pseudo,filler,FALSE
DARING,l'ɪld,2,1,pseudo,filler,FALSE
HEAVEN,g'ʌdz,2,1,pseudo,filler,FALSE
EYEBROWS,sp'oʊs,2,1,pseudo,filler,FALSE
BOXING,s'ɔɹk,2,1,pseudo,filler,FALSE
BUBBLE,l'ʌd,2,1,pseudo,filler,FALSE
GUITAR,ʃl'aɪs,2,1,pseudo,filler,FALSE
FROSTED,l'ɛkt,2,1,pseudo,filler,FALSE
PARKWAY,z'aʊ,2,1,pseudo,filler,FALSE
HONEST,dɹ'æk,2,1,pseudo,filler,FALSE
APRIL,ʃ'eɪɹ,2,1,pseudo,filler,FALSE
BACKGROUND,fɹ'ɔ,2,1,pseudo,filler,FALSE
TWILIGHT,p'ɑŋ,2,1,pseudo,filler,FALSE
HANDLE,m'ɑd,2,1,pseudo,filler,FALSE
GIGGLE,gl'oʊp,2,1,pseudo,filler,FALSE
GHETTO,n'ɝm,2,1,pseudo,filler,FALSE
BEAVER,ʃ'aɪk,2,1,pseudo,filler,FALSE
CONNECT,sw'ɪp,2,1,pseudo,filler,FALSE
ARMOR,t'ʌ,2,1,pseudo,filler,FALSE
STOMACH,n'ɑg,2,1,pseudo,filler,FALSE
CASHEW,sn'ʊt,2,1,pseudo,filler,FALSE
FINISH,l'ɛmd,2,1,pseudo,filler,FALSE
BLANKET,s'ɛps,2,1,pseudo,filler,FALSE
CLOROX,sm'æp,2,1,pseudo,filler,FALSE
BACKBONE,v'ɛɹz,2,1,pseudo,filler,FALSE
ASHTRAY,sk'ɝ,2,1,pseudo,filler,FALSE
STATION,hw'eɪd,2,1,pseudo,filler,FALSE
ARROW,bl'ɛʃ,2,1,pseudo,filler,FALSE
DISGRACE,gl'ɑvz,2,1,pseudo,filler,FALSE
OBSERVE,d'ɪt,2,1,pseudo,filler,FALSE
PEDAL,pl'ɛst,2,1,pseudo,filler,FALSE
FEMALE,m'ɛf,2,1,pseudo,filler,FALSE
SNEAKY,s'ʌt,2,1,pseudo,filler,FALSE
BASKET,p'æɹ,2,1,pseudo,filler,FALSE
NYLON,p'oʊdz,2,1,pseudo,filler,FALSE
MUSTACHE,p'aɪ-bəl,2,2,pseudo,filler,FALSE
SELFISH,mə-soʊk,2,2,pseudo,filler,FALSE
BRISTLE,əs-m'ɑt,2,2,pseudo,filler,FALSE
SHOWER,ə-k'aʊz,2,2,pseudo,filler,FALSE
HUSBAND,k'ɑɹ-vəs,2,2,pseudo,filler,FALSE
TOPPING,du-m'eɪ,2,2,pseudo,filler,FALSE
SHATTER,w'oʊ-tɚ,2,2,pseudo,filler,FALSE
SHALLOW,p'i-tʃən,2,2,pseudo,filler,FALSE
DAIRY,də-b'oʊŋ,2,2,pseudo,filler,FALSE
CLEANER,g'ʌ-hɪŋ,2,2,pseudo,filler,FALSE
LINEN,l'i-nək,2,2,pseudo,filler,FALSE
